authorJobLocation,reviewHeadline,reviewDescription,reviewDate,authorJob,company
"Ottawa, ON",,It was unfortunate that the company Air Liquide had to let some people go due to cut backs.,31 mai 2013,Truck Driver,Air Liquide
"Hyderabad, AP",,"once it so happened that there was an audit, we were supposed to file up the months work and modify and print the charts of drawings and then so happens that the boss shows up his mood by saying lets go for a long walk :P",30 mai 2013,Design Engineer,Air Liquide
"Dallas, TX",,great pay and and great place to work the people are wonderful to work with and for,24 mai 2013,Operator assist,Air Liquide
"Wilmington, CA",,"Air Liquide is a World Wide Co. the benefits and people were great, I got very usefull training and Managment practiced the open door policy, at the time my personal life made it difficult to work the different hours schedule.",16 mai 2013,Plant Operator,Air Liquide
"Houston, TX",,Air Liquide expanded my knowledge on working within a global environment.,5 mai 2013,IT Project Manager (Contractor),Air Liquide
"Plumsteadville, PA",,This is by far the worst company I have ever worked for. The management is terrible and condescending to every employee. Production wise this is an unsafe environment.,3 mai 2013,Executive Assistant,Air Liquide
"Houston, TX",,The people at Air Liquide are the best I've ever worked with unfortunately the direction the company is not very well defined from long term goals,6 avril 2013,Manager of Distribution Resources/Fleet,Air Liquide
Houston,,The management in the Corporate Accounting department in the Houston office is terrible. They do not care how their employees are treated. They talk disrespectful to them and do not mentor employees for advancement. They do not care what the employee wants,9 mars 2013,Corporate Accounting,Air Liquide
"santa fe springs,ca",,"They treat there drivers like bad, there good to you in the first year, they expect you to jump every minute. When you have a situation with them that you need to solve management turns against you they start watching every move you do to see if you make a mistake. anyone plans to work for them my advice is not too, you can work there for years and I mean years and they get rid of you. The pay is good, benefits our good but when they fire you they take everything away that day. Management needs to change, they need to respect there drivers for they can work without stress.",8 mars 2013,bulk driver,Air Liquide
"Hahnville, LA",,Smaller company feel where the employees matter. Pretty laid back atmosphere; not pressured.,6 mars 2013,Process Operator,Air Liquide
Droitwich,,"Hours of work was 9 - 5 support was always there,any question's asked where never shrugged away and answered professionally.",15 février 2013,Business Admin,Air Liquide
Paris France,,I worked in Air Liquide France and I found the team friendly and supportive through out my assignment period. The Management / the team were open to ideas and I was given complete freedom during my assignment.,9 août 2015,"Manager - Quality, HSE and Risk Management",Air Liquide
Ar,,Management needs fixing. To many issues at terminal. Not worth the stress. People are cut throat. Will never advance,14 février 2013,Clerk,Air Liquide
Admnistrator,,"The only typical day to is Friday and Monthend. As we are dealing with gases, so most of the time Monthend iis hectic and Friday as everyone will be ordering for weekend and every hospital is in need of gas.",22 janvier 2013,Administration,Air Liquide
Alrode,,"My day starts with a daily production plan for the day. I do my routine job everyday from 08h00 to 12h00. I do the daily demand of the orders placed for the following day's delivery after 12h00 until 16h30.,I have learned to be independent, to be a responsible and accountable person as my job requires a true reflection of what is on the certificates. I have learned to be a tean leader and at the same time to work within a team. I have learned technical requirements which needs to be implemented in my workplace.,I have not been technically dependable on my manager as he is not technically enclined. It is difficult to solve challenges as I have to find information elsewhere.,My co-workers are very friendly. They make my day very easy to go by as we always talk and share information about work. They are also very good people I can communicate with.,The hardest part of my job is not being able to depend on my manager for technical job advices. The most enjoyable part of my job is how my co-workers make the best of my days when my job tends to be hard/challenging.",26 décembre 2012,Coordinator,Air Liquide
