sentence;package & benefits;work culture;job description & take outs;relationship with management;team;general appreciation;career & progression
 Extremely political atmosphere, almost toxic;;;;;;;
Alstom is a great place to work;;;;;;;
,It wasn't what I was looking for;;;;;;;
but will replace you in a second if they have to;;;;;;;
 Not the best bank to work for;;;;;;;
 not the worst, either;;;;;;;
Passionate, great environment to work in;;;;;;;
,Source of great and promising technology, would never leave - but was tracked and hired by my boss from the past - followed him to Halliburton;;;;;;;
Something new every day;;;;;;;
 Educational opportunities in Property Management;;;;;;;
 Great customers;;;;;;;
 Great Area Manager;;;;;;;
If you are putting the hours for only 1 job the pay and benefits are good;;;;;;;
 However, if you are putting in enough hours for 2 full time jobs then the pay stinks;;;;;;;
Great work experience, get it done and learn work environment, mid grade pay, awesome benefits;;;;;;;
 co workers are smart and driven;;;;;;;
Accenture for me is the Best Place to Work;;;;;;;
,The work might be drowning at times but there is still work and life balance;;;;;;;
 ,I like how the company embrace their Core Values and see it on the operations floor in action;;;;;;;
 ,They invest a lot in Organizational Development and Training;;;;;;;
"""Dog-Eat-Dog"" culture";;;;;;;
 Hard to trust anybody;;;;;;;
 Rampant favoritism;;;;;;;
 Highly compliant workforce;;;;;;;
 No work/life balance;;;;;;;
Great work culture, spent around 6 years and was indeed a enriching experience;;;;;;;
 work culture is very good and you can learn so many things;;;;;;;
•âá SAP based financial module for Deloitte,•âá Prepare Debtors reconciliations from SAP reports;;;;;;;
,•âá Build and maintain cooperative and mutually beneficial relationships with all stakeholders;;;;;;;
,•âá Investigate and resolve queries within service level;;;;;;;
,•âá Obtain creditable explanations for all debtors in 90+ ageing category;;;;;;;
,•âá Reporting and management of debtors in 61 to 89 ageing category ‰ÛÒ process to prevent moving to 90 days category;;;;;;;
,•âá Close working relationship with the Receipt Allocation Clerk to ensure timeous, accurate capturing, including Withholding Tax;;;;;;;
,•âá Review for possible Bad Debt provision;;;;;;;
,•âá Ensure accurate and timeous daily, weekly and monthly reporting;;;;;;;
,•âá Engage with Project Controllers as and when necessary for detail on projects,•âá Debtors book value ‰ÛÒ R225 million;;;;;;;
My experience working in Accenture was amazing, everyday was a challenge with news projects, different mythologies to learn and to improve, but with the support of the all team was easier;;;;;;;
 With Accenture I learned how to work in a team, how to build and finish a project, how to work in a cooperative ambient;;;;;;;
,The hardest part of the job was when some unexpected issues came up and need to be done yes or yes, this company push you up for never give up;;;;;;;
,The best part is the amazing people that work in this company;;;;;;;
Accenture is very good organization for working;;;;;;;
 I'm working there since more than 6 years, and really found this as a great place for work;;;;;;;
 The day last around 10 hours in office, which is too long and makes it difficult to make a balance in work and life;;;;;;;
 On technology front I have learnt many thing here, the best about Accenture is you can learn what do you want to learn;;;;;;;
 Management here is too good and keeps you motivated for your career aspirations;;;;;;;
Day to day dealing with customer in regards to energy queries;;;;;;;
,Personally learned how to deal with many different types of customer;;;;;;;
If you have passion for IT, it is the company to start with;;;;;;;
 The training and work system is great;;;;;;;
Too focused on internal perceptions and completely miss the need to put the client front and central;;;;;;;
It was clean and fully protective environment;;;;;;;
 Working in clean-room environment was not ideal for my situation but I think it is good;;;;;;;
Very cooperating techteam,Proper resolution to any issues on time;;;;;;;
Every day was a learning experience, no two days the same,Meeting lots of interesting and diverse customer;;;;;;;
,Manager very ambitious and competitive, co worker supportive, equally competitive and friendly;;;;;;;
,Due to high level of compliance not been always able to provide customers with their desired expectations;;;;;;;
,The variety of the tasks and being helpful, courteous and a sense of achievement meeting targets and customer service;;;;;;;
Good place to start your career if you join the right group with robust revenues and find a partner willing to coach, but they are few and far between;;;;;;;
" The best groups are nationwide, and with 100% travel, you will see the ""bigs"" - the most complex and interesting issues/industries";;;;;;;
" The culture is cutthroat competitive - partner revenue squabbles abound, professionals 'hoard"" work to make sure they meet their billable hours goals, and no one wants to do a thing that's not going to advance their career";;;;;;;
 Partner revenue constrains cross group/region client service and negatively impacts your career development;;;;;;;
 Training is whatever you can figure out on your own or pick up from a webinar on our own time - don't ask too many questions - managers DO NOT consider staff development part of their job;;;;;;;
 Get your CPA/ EA before you join this organization, there is NO time to study;;;;;;;
 In promotion, marked preference is given to caucasian, sports addicted males - diversity is just good spin;;;;;;;
" Expect to ""commute"" from 1";;;;;;;
5 to 2;;;;;;;
"5 hours each way to client and work 12 hours (hotel stays for staff cut into ?? overhead they ""allocate"" to each engagement)";;;;;;;
You will log 80+ hours to get 55 billable hours weekly during busy season - and busy season is 8;;;;;;;
5 months of the year;;;;;;;
,If you survive it all, it's good experience to have early on in your career;;;;;;;
